EMSProvider Name	providerID	Address	Lat	Lon	Ambulances
Olathe Fire Station 52	1230083	1725 Renner Blvd, Olathe, KS 66061	38.909851	-94.7826377	1
Olathe Fire Station 53	1230084	14940 W 143rd St, Olathe, KS 66062	38.8694807	-94.7611854	1
Olathe Fire Station 54	1230085	13301 S Mur-Len Rd, Olathe, KS 66062	38.8862633	-94.7812617	1
Olathe Fire Station 55	1230086	1128 W Spruce St, Olathe, KS 66061	38.8877325	-94.8356778	1
Olathe Fire Station 56	1230087	24200 College Blvd, Olathe, KS 66061	38.927951	-94.8687127	1
Olathe Fire Station 57	1230088	16110 S Mur-Len Rd, Olathe, KS 66062	38.87179	-94.779568	2
Overland Park Fire Department Station 41	1230089	7550 W 95th St, Overland Park, KS 66204	38.9567535	-94.6748879	1
Overland Park Fire Department Station 42	1230090	9500 W 95th St, Overland Park, KS 66212	38.956983	-94.6974437	1
Overland Park Fire Department Station 43	1230091	13801 Switzer Rd, Overland Park, KS 66221	38.8782319	-94.7012806	1
Overland Park Fire Department Station 44	1230092	8051 W 119th St, Overland Park, KS 66213	38.9126297	-94.6825043	1
Overland Park Fire Department Station 45	1230093	15935 Metcalf Ave, Stillwell, KS 66085	38.838985	-94.6693907	1
Raytown Fire Protection District Station 51	1230094	6020 Raytown Trafficway, Raytown, MO 64133	39.013373	-94.469602	1
